#NAME X             Y             Z             SEFDR SEFDL FR_PAR_ANGLE FR_ELEV_ANGLE FR_OFFSET[d] DR_RE   DR_IM   DL_RE    DL_IM 
ALMA   2225061.16   -5440057.37   -2481681.15   70    70    1             0            0            0       0       0        0 
APEX   2225039.53   -5441197.63   -2479303.36   4900  4900  1             1            0            0       0       0        0
JCMT  -5464584.68   -2493001.17    2150653.98   10000 10000 1             0            0            0       0       0        0
LMT    -768713.96   -5988541.80    2063275.95   3600  3600  1            -1            0            0       0       0        0 
PV     5088967.90    -301681.60    3825015.80   3600  3600  1            -1            0            0       0       0        0
SMT   -1828796.20   -5054406.80    3427865.20   14400 14400 1             1            0            0       0       0        0
SMA   -5464523.40   -2493147.08    2150611.75   5600  6500  1            -1            45           0       0       0        0 
SPT          0.01          0.01   -6359609.70   16900 16900 1             0            0            0       0       0        0 


