Welcome to eht-imaging! v 1.2.10 

Loading text image:  datasets/avery_sgra_eofn.txt
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=0.00000
iteration 1000, loss=0.00000
iteration 2000, loss=0.00000
iteration 3000, loss=0.00000
iteration 4000, loss=0.00000
iteration 5000, loss=0.00000
iteration 6000, loss=0.00000
iteration 7000, loss=0.00000
iteration 8000, loss=0.00000
iteration 9000, loss=0.00000
iteration 10000, loss=0.00000
iteration 11000, loss=0.00000
iteration 12000, loss=0.00000
iteration 13000, loss=0.00000
iteration 14000, loss=0.00000
iteration 15000, loss=0.00000
iteration 16000, loss=0.00000
iteration 17000, loss=0.00000
iteration 18000, loss=0.00000
iteration 19000, loss=0.00000
[seed=24] saved params to fourier_ensembling/bh_noise_models/params_24.msgpack
