Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=1.013330698e+00
iteration 1000, loss=2.007707953e-03
iteration 2000, loss=2.671069524e-04
iteration 3000, loss=9.380615666e-04
iteration 4000, loss=2.131893125e-04
iteration 5000, loss=7.354130503e-05
iteration 6000, loss=2.900161053e-05
iteration 7000, loss=5.355810281e-04
iteration 8000, loss=4.909780691e-04
iteration 9000, loss=1.469243085e-03
iteration 10000, loss=1.735722908e-04
iteration 11000, loss=1.415764359e-06
iteration 12000, loss=4.932651646e-04
iteration 13000, loss=1.686965697e-04
iteration 14000, loss=1.977778163e-09
iteration 15000, loss=1.222783368e-07
iteration 16000, loss=8.966361875e-09
iteration 17000, loss=1.143509287e-08
iteration 18000, loss=1.387463044e-06
iteration 19000, loss=1.213905034e-05
[seed=87] saved params to fourier_ensembling/starfish_models/params_87.msgpack
